,Unnamed: 0,county,state_name,state_abbrev,zipcode
227,9,Lee,Alabama,AL,36865
228,9,Lee,Alabama,AL,36870
229,9,Lee,Alabama,AL,36874
230,9,Lee,Alabama,AL,36877
231,9,Lee,Alabama,AL,36879
232,10,Limestone,Alabama,AL,35611
233,10,Limestone,Alabama,AL,35612
234,10,Limestone,Alabama,AL,35613
235,10,Limestone,Alabama,AL,35614
236,10,Limestone,Alabama,AL,35615
237,10,Limestone,Alabama,AL,35620
238,10,Limestone,Alabama,AL,35647
239,10,Limestone,Alabama,AL,35649
240,10,Limestone,Alabama,AL,35671
241,10,Limestone,Alabama,AL,35739
242,10,Limestone,Alabama,AL,35742
243,10,Limestone,Alabama,AL,35756
244,11,Madison,Alabama,AL,35741
245,11,Madison,Alabama,AL,35748
246,11,Madison,Alabama,AL,35749
247,11,Madison,Alabama,AL,35750
248,11,Madison,Alabama,AL,35757
249,11,Madison,Alabama,AL,35758
250,11,Madison,Alabama,AL,35759
251,11,Madison,Alabama,AL,35760
252,11,Madison,Alabama,AL,35761
253,11,Madison,Alabama,AL,35762
254,11,Madison,Alabama,AL,35763
255,11,Madison,Alabama,AL,35767
256,11,Madison,Alabama,AL,35773
257,11,Madison,Alabama,AL,35801
258,11,Madison,Alabama,AL,35802
259,11,Madison,Alabama,AL,35803
260,11,Madison,Alabama,AL,35804
261,11,Madison,Alabama,AL,35805
262,11,Madison,Alabama,AL,35806
263,11,Madison,Alabama,AL,35807
264,11,Madison,Alabama,AL,35808
265,11,Madison,Alabama,AL,35809
266,11,Madison,Alabama,AL,35810
267,11,Madison,Alabama,AL,35811
268,11,Madison,Alabama,AL,35812
269,11,Madison,Alabama,AL,35813
270,11,Madison,Alabama,AL,35814
271,11,Madison,Alabama,AL,35815
272,11,Madison,Alabama,AL,35816
273,11,Madison,Alabama,AL,35824
274,11,Madison,Alabama,AL,35893
275,11,Madison,Alabama,AL,35894
276,11,Madison,Alabama,AL,35895
277,11,Madison,Alabama,AL,35896
278,11,Madison,Alabama,AL,35897
279,11,Madison,Alabama,AL,35898
280,11,Madison,Alabama,AL,35899
281,12,Marshall,Alabama,AL,35016
282,12,Marshall,Alabama,AL,35175
283,12,Marshall,Alabama,AL,35747
284,12,Marshall,Alabama,AL,35755
285,12,Marshall,Alabama,AL,35950
286,12,Marshall,Alabama,AL,35951
287,12,Marshall,Alabama,AL,35957
288,12,Marshall,Alabama,AL,35964
289,12,Marshall,Alabama,AL,35976
290,12,Marshall,Alabama,AL,35980
291,13,Mobile,Alabama,AL,36505
292,13,Mobile,Alabama,AL,36509
293,13,Mobile,Alabama,AL,36512
294,13,Mobile,Alabama,AL,36521
295,13,Mobile,Alabama,AL,36522
296,13,Mobile,Alabama,AL,36523
297,13,Mobile,Alabama,AL,36525
298,13,Mobile,Alabama,AL,36528
