NAME,median age male,median age female,total travel time to work,travel time to work: less than 5 minutes,travel time to work: 5 to 9 minutes,travel time to work: 10 to 14 minutes,travel time to work: 15 to 19 minutes,travel time to work: 20 to 24 minutes,travel time to work: 25 to 29 minutes,travel time to work: 30 to 34 minutes,travel time to work: 35 to 39 minutes,travel time to work: 40 to 44 minutes,travel time to work: 45 to 59 minutes,travel time to work: 60 to 89 minutes,travel time to work: 90 or more minutes,own children under 18 years by family type and age,total household type,household type: married-couple family,"household type: male householder, no wife present","household type: female householder, no husband present",household type: householder living alone,household type: householder not living alone,total male over 15years,male never married,male now married,male widowed,male divorced,total female over 15 years,female never married,female now married,female widowed,female divorced,women who had a birth in the past 12 months,male no schooling completed,male high school graduate (includes equivalency),male bachelor's degree,male master's degree,male doctorate degree,female no schooling completed,female high school graduate (includes equivalency),female bachelor's degree,female master's degree,female doctorate degree,total income in the past 12 months,total income in the past 12 months at or above poverty level,total income in the past 12 months below poverty level,median household income in the past 12 months (in 2018 inflation-adjusted dollars),total household in the past 12 months with/without public assist or stamps,household with cash public assistance or food stamps/snap in the past year,gini index,per capita income in the past 12 months (in 2018 inflation-adjusted dollars),mean usual hours worked male,mean usual hours worked female,total employment status 16 and over,employed population 16 years and over,housing units,housing tenure owner occupied,housing tenure renter occupied,median number of rooms,median contract rent,median monthly housing costs,no household computer,no household internet access,state_name,county
"Winnebago County, Illinois",38.4,40.7,127945,4193,14076,22870,25010,21454,7357,15841,1825,2735,5004,4221,3359,57233,114337,52641,6014,15859,33654,6169,110648,38911,57267,2515,11955,118462,33470,57978,10729,16285,4262,1018,31018,12461,5020,774,1126,33539,12928,7852,529,278842,232472,46370,53345,114337,20367,0.4547,28844,41.6,35.8,225316,135900,125731,75919,38418,5.7,651,856,10095,11596,Illinois,WINNEBAGO
"Allen County, Indiana",34.3,37.7,173786,3389,15711,29059,35999,37015,16121,16861,2641,3764,5766,5093,2367,85352,147638,68407,7721,20142,42466,8902,142741,50403,72504,3630,16204,152636,43674,75919,13692,19351,6586,1216,33206,21694,7855,2196,1564,34998,24104,9414,1418,368922,319605,49317,54260,147638,16238,0.4605,29766,41,35.9,290441,185932,159269,102421,45217,6,624,779,12047,17617,Indiana,ALLEN
"Bartholomew County, Indiana",36.2,37.9,37183,1412,6787,6986,8350,4944,1775,2673,1146,725,1078,1064,243,17024,31891,16087,1134,3264,9315,2091,33567,10945,17959,1183,3480,33046,7636,17359,3124,4927,1125,547,9208,5332,3365,770,404,8259,6005,3261,37,81615,72950,8665,62047,31891,2764,0.4055,30152,41.1,34.3,65756,39897,34532,22614,9277,5.8,732,833,3898,4722,Indiana,BARTHOLOMEW
"Boone County, Indiana",37.5,38.5,32881,789,4951,4271,4282,4158,3756,4636,1349,1081,2075,1216,317,15759,24808,16317,716,2669,4492,614,25920,6371,17006,277,2266,26545,5161,17228,1559,2597,1018,103,4323,6332,2372,271,43,4544,6796,2767,372,66249,63197,3052,81145,24808,1108,0.4417,42034,41.5,36.3,51404,34911,27548,19182,5626,6.2,850,1186,1280,1455,Indiana,BOONE
"Clark County, Indiana",37.4,40.5,57534,1023,4059,8693,9816,10185,5713,8382,1258,3178,3690,1022,515,24023,45905,24130,2060,4354,13075,2286,45476,13978,25627,1345,4526,49558,11153,26305,3443,8657,1483,401,13683,5651,1607,716,294,13456,6063,3013,700,115294,101139,14155,56307,45905,3362,0.4192,30098,41.3,37.2,93457,61628,51096,31979,13926,5.3,675,873,3336,9467,Indiana,CLARK
"Delaware County, Indiana",31.7,37.5,51665,1955,9580,10749,10299,7135,1622,2985,716,604,2660,2149,1211,19386,45311,19433,1842,5038,14816,4182,45956,17862,21703,1307,5084,51147,18187,21001,4949,7010,1478,273,11135,4539,2348,426,233,11734,4895,4046,400,107717,83323,24394,41662,45311,5871,0.4486,23387,38.5,33.7,95928,54230,52731,29388,15923,5.5,611,739,4841,6703,Indiana,DELAWARE
"Elkhart County, Indiana",34.3,36.6,94807,3035,12042,17587,20711,14607,7622,10072,2034,2345,3002,1023,727,49774,73660,39610,4069,10128,16514,3339,77168,24370,44350,1690,6758,81039,22372,43709,6235,8723,2046,649,22445,8476,3247,642,675,22970,8748,4302,58,201449,177569,23880,58350,73660,6939,0.4128,25694,41.5,36.9,155311,100368,79495,52216,21444,6,667,833,6834,9098,Indiana,ELKHART
"Floyd County, Indiana",37.7,41.7,37325,390,1968,5591,7293,6540,4116,6464,1145,1049,1865,197,707,15667,30300,15316,1214,3177,8708,1885,30714,9990,16539,861,3324,32977,8276,17294,3138,4269,536,76,8148,5657,1239,267,58,8359,4964,2573,424,76148,69729,6419,66391,30300,1905,0.4308,34186,41.9,37.2,62381,40049,33022,22566,7734,5.9,685,921,1843,5303,Indiana,FLOYD
"Grant County, Indiana",40.6,41.7,26975,2086,5645,4957,4946,2371,1245,1169,458,658,2006,1254,180,11994,26923,12996,1214,3298,7949,1466,25691,8412,13384,586,3309,28810,7882,13929,2975,4024,889,244,7978,1292,1054,219,134,8836,2242,1448,52,60382,47649,12733,44839,26923,3831,0.4014,22298,39.5,35,54145,29113,30494,19947,6976,5.9,466,620,3229,4645,Indiana,GRANT
"Hamilton County, Indiana",37.1,38.3,160846,3550,14828,19656,23776,18457,10510,29060,7136,9554,17896,3924,2499,84665,122876,78175,5070,10125,24230,5276,123189,31888,79947,1832,9522,132757,31072,81016,9049,11620,4378,249,14369,36781,18007,2266,402,19865,39448,19826,1716,328461,314420,14041,100209,122876,2336,0.4498,48847,42.8,36.6,251586,176794,129530,92965,29911,7.2,1053,1340,2933,5839,Indiana,HAMILTON
