NAME,median age male,median age female,total travel time to work,travel time to work: less than 5 minutes,travel time to work: 5 to 9 minutes,travel time to work: 10 to 14 minutes,travel time to work: 15 to 19 minutes,travel time to work: 20 to 24 minutes,travel time to work: 25 to 29 minutes,travel time to work: 30 to 34 minutes,travel time to work: 35 to 39 minutes,travel time to work: 40 to 44 minutes,travel time to work: 45 to 59 minutes,travel time to work: 60 to 89 minutes,travel time to work: 90 or more minutes,own children under 18 years by family type and age,total household type,household type: married-couple family,"household type: male householder, no wife present","household type: female householder, no husband present",household type: householder living alone,household type: householder not living alone,total male over 15years,male never married,male now married,male widowed,male divorced,total female over 15 years,female never married,female now married,female widowed,female divorced,women who had a birth in the past 12 months,male no schooling completed,male high school graduate (includes equivalency),male bachelor's degree,male master's degree,male doctorate degree,female no schooling completed,female high school graduate (includes equivalency),female bachelor's degree,female master's degree,female doctorate degree,total income in the past 12 months,total income in the past 12 months at or above poverty level,total income in the past 12 months below poverty level,median household income in the past 12 months (in 2018 inflation-adjusted dollars),total household in the past 12 months with/without public assist or stamps,household with cash public assistance or food stamps/snap in the past year,gini index,per capita income in the past 12 months (in 2018 inflation-adjusted dollars),mean usual hours worked male,mean usual hours worked female,total employment status 16 and over,employed population 16 years and over,housing units,housing tenure owner occupied,housing tenure renter occupied,median number of rooms,median contract rent,median monthly housing costs,no household computer,no household internet access,state_name,county
"Hennepin County, Minnesota",35.7,37.3,651497,9974,50442,85015,112869,122380,64149,99752,24111,25901,31768,17237,7899,253879,508964,226744,20155,45402,164319,52344,504703,207831,246050,8129,42693,521236,178682,248979,31355,62220,16802,4998,71903,135212,55159,10204,8963,71437,147322,62177,7556,1238710,1113702,125008,76052,508964,42171,0.4894,45487,40.4,36.3,1011141,707713,537775,317008,191956,5.7,1046,1306,26821,40496,Minnesota,HENNEPIN
"Olmsted County, Minnesota",37.4,38.9,79718,3041,10899,19071,20804,10916,2903,4969,1628,1022,1615,1673,1177,36402,63462,32802,1944,5047,19728,3941,60594,19877,34632,1374,4711,64103,17300,34611,4985,7207,2439,399,10767,12576,4681,1800,1069,8766,14719,7076,1687,154128,144066,10062,75327,63462,5401,0.467,41499,40.2,35.9,122687,84199,66669,44114,19348,6.3,853,1132,4182,5708,Minnesota,OLMSTED
"Ramsey County, Minnesota",34.1,36.2,262106,3383,23491,35361,43170,50187,24478,37291,9921,9225,16761,5905,2933,117489,209287,84990,8558,25395,72432,17912,213225,92325,94764,5356,20780,228488,85972,97864,16424,28228,9231,5124,36986,45864,15858,5315,6366,37605,50271,25006,3708,535746,457887,77859,62919,209287,25174,0.4721,35257,39.1,35.9,434529,284189,220680,123725,85562,5.5,895,1102,14797,18302,Minnesota,RAMSEY
"Rice County, Minnesota",35.7,37.7,26934,1737,3954,4702,3345,2971,1763,1608,932,1268,2440,1759,455,14070,23358,11872,1234,1642,7285,1325,27892,11036,12727,659,3470,26591,8988,13014,2299,2290,619,85,7067,3821,897,435,238,6197,4542,1184,180,58161,52620,5541,65839,23358,1248,0.4299,29771,38.9,32.5,53662,32173,25131,17927,5431,6.5,770,979,2387,2645,Minnesota,RICE
"St. Louis County, Minnesota",39.3,41.7,93382,6239,16621,15077,19246,12681,4687,8176,1804,1437,3170,2811,1433,34387,84370,37282,3218,7095,28229,8546,83795,29735,40691,2725,10644,84459,26395,39338,7895,10831,1712,611,17350,12233,3800,1195,221,18304,13623,5203,1061,191821,163405,28416,53550,84370,8661,0.4416,30075,38.8,33.7,165951,97588,105006,59200,25170,5.3,708,810,10156,12575,Minnesota,ST LOUIS
"Scott County, Minnesota",36.6,37.3,74115,1354,7090,8129,8551,10311,6327,12489,4075,4493,8141,2625,530,36750,50040,32869,2049,5005,7273,2844,55487,15804,34874,758,4051,58347,15078,34782,3408,5079,1747,183,10027,13485,3847,483,403,10858,13122,4693,388,145061,135653,9408,100963,50040,2524,0.3964,40535,41.5,34.9,111438,80822,51942,41357,8683,7.1,1047,1487,1896,2626,Minnesota,SCOTT
"Sherburne County, Minnesota",35.1,36.4,50080,990,3385,5174,6602,5957,2361,7475,2679,2964,6506,4681,1306,23795,32033,18375,2018,3146,6071,2423,39030,15108,19550,293,4079,36021,9527,20650,2046,3798,916,100,10396,5378,975,35,68,7915,6995,2716,200,93818,86380,7438,80643,32033,1214,0.353,31758,42.6,35.8,73994,53460,34301,25077,6956,6.3,894,1264,1348,1552,Minnesota,SHERBURNE
"Stearns County, Minnesota",33.5,36.7,78567,5135,12692,16607,13608,9196,3805,5633,1378,1887,2454,3103,3069,34912,58510,30194,2532,5594,16138,4052,64389,25384,31282,1844,5879,64033,21351,33424,3977,5281,1910,410,14243,8986,2218,865,796,11548,9544,4073,1028,152934,132339,20595,60669,58510,5828,0.4302,30094,41.3,34,126432,84434,65280,40185,18325,5.9,741,902,4747,7205,Minnesota,STEARNS
"Washington County, Minnesota",38.8,40.5,130927,2140,11556,14681,16336,20122,11296,20011,5713,8564,13008,5345,2155,60156,96387,57452,3584,7183,22947,5221,102021,31738,61024,1464,7795,105101,25557,60881,7954,10709,4034,995,16664,24313,10264,1445,878,17875,27445,12305,900,255266,245851,9415,95124,96387,4457,0.4224,45986,40,35.8,203198,142264,99481,80061,16326,6.9,1149,1447,5211,5812,Minnesota,WASHINGTON
"Wright County, Minnesota",36.7,38.7,70393,1962,7155,8618,7025,5591,5811,8541,2264,6620,8279,6806,1721,34770,48863,28182,3611,3962,10369,2739,52671,16930,28648,1076,6017,52245,12483,31230,2374,6158,2267,252,13250,7944,2438,363,99,13622,8589,3745,372,134110,128160,5950,88359,48863,2903,0.3892,36949,41.5,36,103509,75205,52464,38638,10225,6.6,845,1234,4092,4483,Minnesota,WRIGHT
"DeSoto County, Mississippi",35.7,38.4,88054,1121,7223,11057,12132,14604,6225,17644,3805,3966,6327,2895,1055,38413,63075,34561,4269,7163,14161,2921,68559,20716,38654,2142,7047,75569,20627,39206,6103,9633,2417,381,16707,8884,2363,419,413,18270,13268,4176,313,179872,164049,15823,68385,63075,4864,0.3844,28567,42.2,37.7,141632,92042,68524,46324,16751,6,832,1000,3497,5273,Mississippi,DESOTO
"Forrest County, Mississippi",31.2,35,31351,1272,6195,8296,5060,4598,664,2250,1821,200,78,81,836,29796,27248,8251,823,5353,10259,2562,29962,14563,9799,1787,3813,31689,13388,10717,2532,5052,1024,262,4588,2969,871,488,179,5172,5155,2450,505,71314,52818,18496,38837,27248,6206,0.5287,23356,42.3,33.5,60646,32549,33218,14694,12554,5.3,596,751,4102,5534,Mississippi,FORREST
"Harrison County, Mississippi",35.9,38,87627,2129,9365,10791,17410,16115,7515,11955,2328,1768,3919,1997,2335,43718,82375,35064,4134,13765,24049,5363,80368,28028,39149,2199,10992,84785,25092,39407,8438,11848,2081,749,21141,7530,4412,316,770,20176,11302,4589,603,201203,159844,41359,45042,82375,17802,0.5,26203,42.7,36,162222,85825,93896,45991,36384,5.3,677,833,6692,11818,Mississippi,HARRISON
"Hinds County, Mississippi",32.7,36.9,99647,860,7095,12540,20783,21006,8766,15380,3670,2637,4946,1302,662,45111,85483,29434,3642,19534,27714,5159,86406,38355,37179,2582,8290,103317,47675,33891,9828,11923,2215,774,20041,10658,4153,560,527,17228,18397,8256,752,227876,186287,41589,45459,85483,13809,0.4334,22305,39.2,37.2,187532,105511,104339,48419,37064,5.3,671,837,9149,12319,Mississippi,HINDS
"Jackson County, Mississippi",38.1,39.7,58922,1112,5373,10139,11176,8872,2502,9634,2162,1861,4041,1621,429,29796,51659,21690,2263,9800,15427,2479,55611,20719,25024,1474,8394,60010,19442,25412,5882,9274,2288,579,12792,7270,2070,464,307,13745,6521,3437,403,142048,114799,27249,50546,51659,5156,0.4434,24364,39.9,36.5,113819,59522,62727,33906,17753,5.6,657,774,4204,7095,Mississippi,JACKSON
"Jones County, Mississippi",38,37.4,28556,1438,1825,3112,6599,5126,2198,4224,567,600,1539,705,623,14952,25098,12223,1214,3963,6909,789,26182,8829,14112,925,2316,28259,7887,13855,3658,2859,941,745,7278,2921,1149,262,332,7249,3365,2520,0,66816,54218,12598,49393,25098,2656,0.4317,23640,42.3,36.9,53798,29416,29143,18752,6346,6.1,521,494,2464,9149,Mississippi,JONES
"Lauderdale County, Mississippi",36.4,38.2,28675,238,3298,4748,6583,5207,1552,4126,249,670,1447,322,235,16584,29993,13601,668,4589,10073,1062,28503,8842,14913,1256,3492,31018,7872,14826,3227,5093,1196,206,7144,2897,902,212,313,5257,3153,1565,132,72141,52324,19817,37971,29993,5605,0.5403,22702,42.3,36.9,58613,28735,35349,18931,11062,5.4,564,670,4024,5449,Mississippi,LAUDERDALE
"Lee County, Mississippi",35.7,39.1,36655,1201,2680,7542,9825,4708,2413,4722,881,250,1637,406,390,19387,32527,16389,1563,4265,8982,1328,32311,10996,16948,610,3757,35173,9032,18119,3516,4506,1590,134,6180,4943,986,253,614,7294,4141,2093,481,84293,74737,9556,53062,32527,2333,0.4662,27637,42.3,36.9,66408,38049,37051,22060,10467,5.5,649,799,4234,5874,Mississippi,LEE
"Madison County, Mississippi",36.2,38.8,52348,1415,3170,6670,9774,10597,5930,7756,1000,1291,2604,1007,1134,24276,40229,21467,1326,6237,9953,1246,38916,13045,22879,478,2514,44734,12437,23130,3296,5871,1432,38,5008,9345,3973,1435,3,5271,12066,5998,759,104067,97744,6323,75992,40229,2633,0.4757,42779,43.5,36.9,81907,55342,44040,30204,10025,6.2,818,1105,1625,2569,Mississippi,MADISON
"Rankin County, Mississippi",37.2,38.6,74130,1916,4197,6307,12042,15350,5415,15261,1103,2046,6224,3239,1030,31855,55483,29387,2280,7118,14309,2389,59489,18305,32397,1918,6869,65475,14208,34078,6309,10880,1535,499,12547,8939,3909,848,291,14454,9894,6920,282,148000,135717,12283,66480,55483,3175,0.4002,30605,42.7,38.3,123138,76109,61489,42636,12847,5.5,868,947,4019,8352,Mississippi,RANKIN
"Boone County, Missouri",29.8,30.9,88854,3145,12457,19332,25782,11933,3261,5450,1458,1904,2260,750,1122,33627,72217,31688,2582,5235,22278,10434,70695,31093,32666,866,6070,77961,30992,35597,4689,6683,1412,632,9362,12746,5780,2030,228,10996,15212,9200,1548,170672,139510,31162,54356,72217,6099,0.4624,29965,38,34.5,147029,94606,78945,39110,33107,5.5,697,952,3114,6461,Missouri,BOONE
"Buchanan County, Missouri",36.9,40.4,40429,1297,8847,9806,10071,5321,647,920,587,326,1120,1085,402,16122,33621,13190,1748,5178,10051,3454,36339,12657,15788,1508,6386,35563,9924,14957,3973,6709,1270,434,12203,4751,795,274,62,11006,4990,1554,175,84848,71480,13368,55020,33621,4361,0.415,26849,41.4,37.2,71345,41192,38800,21584,12037,5.5,557,746,2846,4866,Missouri,BUCHANAN
"Cape Girardeau County, Missouri",34.1,38.4,38499,664,6420,10374,7570,4851,1348,2111,599,713,1437,1715,697,16234,28675,13835,1071,3735,7580,2454,30834,13384,13895,674,2881,33386,10198,15593,2984,4611,1236,285,8035,4973,1381,615,275,8080,4661,2880,318,75547,64467,11080,49844,28675,3287,0.4306,23758,40.1,35.8,62959,40065,34210,18338,10337,5.3,590,800,2522,3593,Missouri,CAPE GIRARDEAU
"Cass County, Missouri",38.7,43.5,49173,1455,4302,5931,3723,4305,5077,7022,3967,3492,6735,2482,682,21938,40197,23350,2711,3652,8265,2219,39984,10239,24615,1146,3984,44676,10325,24325,5106,4920,1364,272,11046,6417,1968,438,130,12486,6441,2989,318,103702,94828,8874,71114,40197,2526,0.386,32467,42.2,36.6,82934,52825,42442,32040,8157,6.2,742,1010,2466,4754,Missouri,CASS
"Christian County, Missouri",37.2,39.1,38570,927,2378,3463,5415,8192,4005,7097,1826,885,2818,500,1064,20990,31421,18080,982,3002,7927,1430,33296,8136,19818,880,4462,34720,7238,19704,2701,5077,1134,17,8415,4507,1472,602,268,7547,4924,3721,552,85362,78595,6767,56717,31421,2942,0.4248,26781,41.2,37.1,66749,40495,34792,23625,7796,5.7,591,913,2544,4121,Missouri,CHRISTIAN
"Clay County, Missouri",36.3,38.5,121224,2637,9831,16300,20642,22322,10913,16645,5353,4468,8152,2892,1069,53031,91901,46824,3872,9563,25345,6297,94804,31249,51286,2072,10197,102448,27325,53670,7171,14282,2836,1361,22861,17585,5351,1528,1112,21823,19439,8271,607,243374,226886,16488,68269,91901,6255,0.4075,33430,40.8,36.7,194578,128139,98914,61944,29957,6,771,1070,4186,6481,Missouri,CLAY
"Cole County, Missouri",37.6,41.6,37757,1446,6745,8845,8062,4785,2253,2073,431,1602,647,563,305,16176,29593,15631,1300,2739,8418,1505,31806,10784,17194,456,3372,30758,7094,17405,2188,4071,970,0,8085,6222,2015,201,52,7109,6318,2399,337,72113,67688,4425,63568,29593,1803,0.4035,31852,41.4,36.5,61444,38989,33502,20351,9242,6.1,482,723,1851,4025,Missouri,COLE
"Franklin County, Missouri",39.2,41.9,48038,1310,6026,5141,4980,5436,2591,6320,1941,2156,5956,4955,1226,20616,40387,20270,3162,4402,10531,2022,42216,14310,21808,890,5208,42138,9858,22355,4430,5495,1620,365,12845,4051,1368,31,208,10990,5261,2211,72,102304,93816,8488,58209,40387,2916,0.428,30802,41.3,36.5,83035,51465,45538,29837,10550,5.6,533,770,3675,4997,Missouri,FRANKLIN
"Greene County, Missouri",35.9,37.1,129064,3713,13415,23479,25506,28062,9735,11390,2659,2619,4459,2792,1235,52875,128691,56364,5910,10655,44689,11073,115764,40552,57821,4032,13359,124705,33785,64011,9939,16970,4523,520,26582,15171,6177,1064,677,26962,18338,9712,601,279887,235202,44685,43771,128691,17762,0.4847,26855,40.2,36.6,237232,135829,134555,71279,57412,5.2,611,748,16901,24328,Missouri,GREENE
"Jackson County, Missouri",35.6,37.8,330260,6451,28731,44606,57438,56585,27469,52177,12311,11719,21556,7580,3637,147765,288752,114872,12262,43203,95264,23151,268008,106241,126455,6631,28681,293866,95459,131870,23535,43002,9040,2103,63764,47019,17026,2166,2491,68850,49266,24420,2102,687991,599049,88942,55929,288752,32044,0.4527,31037,40.8,37.4,554008,353167,325973,169570,119182,5.6,709,961,21748,30559,Missouri,JACKSON
"Jasper County, Missouri",34.8,38,52649,1615,7131,9631,14298,8914,3256,4316,414,585,1297,688,504,26042,47846,21644,2808,6618,14576,2200,45766,14894,23090,1865,5917,49352,12440,23636,4967,8309,1934,137,14382,6431,1368,390,942,14912,6965,2192,279,118336,97735,20601,46617,47846,7492,0.4426,24250,41.3,37,93580,56103,51798,30134,17712,5.6,560,758,5429,6936,Missouri,JASPER
"Jefferson County, Missouri",38.3,41.3,109065,1975,8307,8260,12452,10065,7792,17014,6999,7137,16218,9975,2871,46297,85892,46078,4463,10084,19582,5685,89725,25643,50128,2860,11094,91845,20899,48932,8130,13884,3142,1085,26626,11208,4068,337,375,23593,11462,5567,43,221639,202879,18760,65246,85892,8752,0.4145,31927,40.3,36.4,179131,114228,91634,69637,16255,5.8,651,937,4551,7570,Missouri,JEFFERSON
"Platte County, Missouri",36.6,38.6,50605,980,4579,6296,6100,9058,5509,8236,3122,2474,2898,843,510,22986,40086,20367,1690,4430,10449,3150,40126,11951,22170,782,5223,42659,10898,23385,3278,5098,1296,112,8056,8679,3383,685,37,8820,9633,4826,584,102388,96824,5564,80468,40086,1646,0.4541,41833,42.7,37.9,81079,54262,42374,26757,13329,6.1,854,1159,1262,2165,Missouri,PLATTE
"St. Charles County, Missouri",37.6,39.9,196929,2885,14934,25116,29544,32164,17933,31101,10381,11673,13559,4745,2894,86428,149951,85492,5700,13423,38486,6850,157292,49492,89535,3883,14382,165495,41058,91741,13383,19313,4304,478,31406,33969,14628,1864,268,35402,33032,18737,1670,391214,368564,22650,81663,149951,7934,0.3974,38203,40.9,36.6,316553,209733,156335,120587,29364,6.3,858,1186,6863,9319,Missouri,ST CHARLES
"St. Francois County, Missouri",38.8,41,26504,1086,4408,3483,5244,3130,1338,1810,962,429,938,1894,1782,11462,25670,11674,2149,3112,7222,1513,28891,9252,13431,719,5489,26419,4836,13093,2956,5534,703,284,10989,1670,1268,178,81,7000,1911,1608,251,59266,47076,12190,46796,25670,4190,0.4556,23478,41.8,34.9,54740,27111,30242,16742,8928,5.1,513,662,3836,3941,Missouri,ST FRANCOIS
"St. Louis County, Missouri",38.5,42.3,463516,8737,34297,55358,74435,91056,40780,79587,17774,20144,27204,9176,4968,198550,408117,190447,16943,54294,119753,26680,380295,132204,204811,10839,32441,435210,131038,208224,40845,55103,12919,1808,66001,82362,38755,8854,2092,77603,89837,55041,6669,976829,873478,103351,66778,408117,35415,0.492,40843,40.6,37.1,802833,498663,441936,273604,134513,5.9,774,1062,29150,36212,Missouri,ST LOUIS
"St. Louis city, Missouri",36.1,36.8,149920,2477,10982,19667,28415,29385,10625,19518,5268,4490,10204,4337,4552,51629,144295,35512,4778,23609,66720,13676,121721,63072,42900,3200,12549,131691,60100,43520,10812,17259,5023,1574,26475,23330,9067,2545,1171,25001,22310,13602,2355,294353,229268,65085,43889,144295,26719,0.5056,31537,40.8,37.8,251015,158338,177169,63011,81284,4.8,645,873,18610,28083,Missouri,ST LOUIS CITY
"Cascade County, Montana",37,39.4,36987,900,6266,9152,9003,5717,1755,2247,583,91,368,429,476,16233,35558,17152,1402,3662,11030,2312,33353,9415,18507,1071,4360,33090,7910,17662,3238,4280,1709,0,9850,4523,1509,100,265,7912,4331,2270,257,79634,68689,10945,49948,35558,3918,0.4469,29743,39.8,36.2,65079,37225,39037,21183,14375,5.7,707,848,4680,6606,Montana,CASCADE
"Flathead County, Montana",40.3,43.6,44399,3249,5200,8981,7287,6832,2818,6346,702,388,1599,525,472,19455,38372,19879,1434,3470,11930,1659,41268,11641,23459,704,5464,42175,9225,22256,4372,6322,624,121,12036,7880,2300,125,113,10197,7385,3220,106,101399,90384,11015,53193,38372,3843,0.4714,32619,41.2,35.3,82687,49555,49088,27663,10709,5.4,840,975,3496,4423,Montana,FLATHEAD
"Gallatin County, Montana",32.9,35.1,56878,2968,11390,12242,12340,8119,2991,2992,301,468,771,817,1479,20952,44423,21265,2158,2430,10912,7658,47892,20242,22297,728,4625,44936,14025,23542,1786,5583,828,0,6002,10555,4687,1113,0,6814,11144,3987,1449,108058,98141,9917,68266,44423,1737,0.4509,34879,40.6,34.7,91778,65763,51000,27413,17010,5.5,1023,1163,2341,3167,Montana,GALLATIN
"Lewis and Clark County, Montana",39.9,41.9,32900,2409,4449,6869,8755,5430,967,1234,106,404,730,866,681,14107,27842,12796,599,3284,8209,2954,27433,8632,13924,1263,3614,28771,6560,14855,2780,4576,1386,157,5662,5382,1924,522,0,4646,5481,4072,356,67181,59662,7519,65241,27842,2084,0.3963,32360,38.6,36,55167,35237,31784,20194,7648,5.7,726,1034,2925,4078,Montana,LEWIS AND CLARK
"Missoula County, Montana",35.3,37.7,63000,1970,9249,13078,16620,9950,2779,4644,474,664,1823,616,1133,19968,50401,24795,1621,3629,12962,7394,49303,18917,26086,410,3890,51101,15032,25868,3354,6847,1077,120,9089,8841,3489,929,200,7350,10422,5393,537,115701,101064,14637,56598,50401,5351,0.4483,31690,38.8,34.5,98913,68413,54922,28869,21532,5.2,776,889,2478,3373,Montana,MISSOULA
"Yellowstone County, Montana",37,39,76703,2990,11088,14807,16152,15015,4798,5540,989,462,1482,1204,2176,33275,66805,31273,3024,6115,21556,4837,62750,18594,34520,2142,7494,65667,18669,32057,6021,8920,1376,263,17315,12270,2295,513,141,14415,13961,4035,309,157012,139490,17522,60079,66805,6520,0.4527,32159,42.2,35.7,126633,80537,72400,44654,22151,6,787,964,6105,9048,Montana,YELLOWSTONE
"Douglas County, Nebraska",33.9,35.8,279913,5900,29951,51296,62991,57996,20996,27454,5161,3977,6884,5040,2267,132233,220858,99520,11077,24290,69122,16849,217106,82092,110144,5223,19647,227323,71918,110073,17198,28134,9345,3765,37464,45793,14022,3234,2636,38829,49508,21228,3641,553663,491060,62603,64390,220858,22982,0.4799,35490,41.1,36.8,436866,296408,237325,136347,84511,5.9,775,1073,16375,21548,Nebraska,DOUGLAS
"Lancaster County, Nebraska",33.1,34.7,165588,5355,23135,33319,37308,30800,9044,13757,1411,2132,3581,3563,2183,65386,125917,56199,5030,12029,39593,13066,128228,51992,62394,2540,11302,127784,45363,59438,8512,14471,3371,2679,21305,25580,9123,3114,1317,20749,26456,11107,1674,303520,265744,37776,57650,125917,9956,0.422,30590,40.4,35.1,252210,175910,133465,75461,50456,5.8,724,963,7341,10085,Nebraska,LANCASTER
"Sarpy County, Nebraska",33.8,35.5,91724,2084,11092,14205,17401,19979,8277,10936,1801,1565,2873,951,560,47619,66273,37352,2184,6019,16547,4171,71089,23856,39794,1078,6361,71140,17207,41415,4248,8270,2204,511,13401,13336,7145,373,397,12992,15693,6377,653,182891,172353,10538,77941,66273,4266,0.4157,35628,42,36.5,140146,94037,69957,44256,22017,6.4,869,1203,2968,3981,Nebraska,SARPY
"Clark County, Nevada",36.9,38.2,1000216,14646,59423,119630,159906,193047,87810,194846,26086,40271,56359,27070,21122,439519,808605,338811,59978,108552,235622,65642,892298,350662,406894,23110,111632,907264,287855,412067,67612,139730,27835,14301,208440,120228,40644,8404,14076,220951,126492,47663,5401,2205026,1898999,306027,57076,808605,109031,0.4779,30754,40.1,37.1,1770261,1058400,913385,438284,370321,5.1,975,1165,52642,98927,Nevada,CLARK
"Washoe County, Nevada",37.5,39.1,227259,5469,24116,37939,47032,36999,15322,28210,5440,5214,10020,6969,4529,88043,185709,81172,11149,18394,57181,17813,191308,67871,92698,4475,26264,190231,53391,91193,13662,31985,5668,1890,41962,31932,11040,3651,2149,35865,30368,15112,2774,459808,412746,47062,63310,185709,15742,0.4527,35705,40.7,36.5,376391,240788,201065,107324,78385,5.2,993,1175,9655,17654,Nevada,WASHOE
"Cheshire County, New Hampshire",43.1,44.1,35662,2501,5209,5619,4987,4754,2075,4289,1401,628,1405,1647,1147,12487,30208,13812,1038,2082,10358,2918,31434,12132,13772,599,4931,34145,10227,15748,3099,5071,179,178,9532,4975,1906,469,300,7965,6183,2706,162,71902,64027,7875,59186,30208,2334,0.466,34460,39.3,35.8,64295,39875,35724,20863,9345,5.3,793,1105,3056,3858,New Hampshire,CHESHIRE
"Grafton County, New Hampshire",41.4,44,44248,1837,5528,7029,7799,6104,3441,3853,1251,2117,2468,2102,719,12580,35394,17472,1518,2686,11032,2686,38005,13817,19366,1021,3801,39977,12148,19181,3682,4966,1364,77,8767,6141,3965,1077,129,7059,7855,4004,1211,83453,76884,6569,66358,35394,2058,0.473,37316,39.1,35.9,77523,47809,53071,24233,11161,5.5,950,1174,2818,4165,New Hampshire,GRAFTON
"Hillsborough County, New Hampshire",39.7,42.1,209407,3943,17227,29119,35081,26411,13983,25459,7238,9583,17902,14209,9252,77069,161649,81919,7661,14463,44157,13449,170887,61304,88215,4580,16788,175159,48714,89119,15116,22210,4534,699,38071,34504,15278,3431,979,38461,36281,17439,1627,406805,376277,30528,78978,161649,12938,0.4478,41289,41.9,36,340143,228593,172044,106906,54743,5.6,1010,1398,8720,11655,New Hampshire,HILLSBOROUGH
"Merrimack County, New Hampshire",42.1,44.6,74387,1971,8792,8682,9372,11151,6136,9503,3149,2989,5998,4459,2185,25262,58521,30788,2515,4711,16217,4290,62718,19836,33436,1959,7487,65104,16672,33073,5504,9855,1299,434,17082,9737,5521,1073,634,15499,10170,7470,435,144478,134981,9497,75088,58521,4322,0.4366,37119,40.4,36.3,125929,81067,65246,44302,14219,5.7,914,1293,3424,3913,New Hampshire,MERRIMACK
"Rockingham County, New Hampshire",43.4,46.1,157494,5031,12997,18019,19920,19534,11234,22401,6019,8662,14447,12053,7177,54703,119467,68005,4474,10422,27567,8999,128304,41320,73552,2816,10616,132451,33846,72902,10184,15519,3470,869,28495,28098,11027,1810,464,27669,29790,14909,1199,306113,289522,16591,95160,119467,5544,0.4282,45134,42.5,35.9,256291,172287,133207,92636,26831,5.9,1091,1567,4906,7025,New Hampshire,ROCKINGHAM
"Strafford County, New Hampshire",36.7,37.8,63437,1625,6878,9136,7503,8648,4445,8586,3084,1777,6084,4380,1291,20835,48393,23670,2471,3465,13465,5322,53364,21550,26035,947,4832,57319,19305,26108,4879,7027,1415,207,12235,10060,3287,610,508,12581,10437,4992,418,119753,107449,12304,71528,48393,5051,0.4564,35835,39,34.6,108422,70637,54311,31847,16546,5.4,935,1277,3249,4707,New Hampshire,STRAFFORD
"Atlantic County, New Jersey",39.7,44,122404,3509,12848,14561,27357,19151,8964,13307,2405,4102,7056,5632,3512,46110,96981,46857,3780,13855,27519,4970,104920,37365,54733,2970,9852,114116,36655,53395,10281,13785,3861,2377,25619,15297,5732,1139,1611,29503,18008,7797,510,259787,226249,33538,61212,96981,12773,0.4633,32590,39.3,34.7,216076,129700,128408,66859,30122,5.9,916,1339,6104,10122,New Jersey,ATLANTIC
"Bergen County, New Jersey",40.4,43.2,452949,8105,33483,47415,50586,57013,33427,53914,10743,19493,44269,70282,24219,183453,339953,191396,14515,37482,83751,12809,372138,127305,213260,8833,22740,402590,114732,213416,37525,36917,10441,3829,70701,94899,37858,5766,4470,77886,109473,49090,4881,927422,863119,64303,100361,339953,17044,0.482,50530,41.6,36.5,763161,486527,359241,220204,119749,5.8,1358,1848,21657,28338,New Jersey,BERGEN
"Burlington County, New Jersey",40.1,43.5,215036,3525,19114,24674,27749,28214,14779,27626,10150,12228,19937,18315,8725,81524,166698,90782,5573,19484,42492,8367,180045,61787,100281,3655,14322,189635,52953,98214,16439,22029,3400,1377,41184,35553,13554,1737,949,43719,40954,17202,1469,433361,408095,25266,84889,166698,8346,0.4455,42961,41.4,36,363363,223123,179900,125628,41070,6.4,1186,1516,10203,14406,New Jersey,BURLINGTON
"Camden County, New Jersey",37.5,40.1,232954,3889,16748,26218,36887,32695,16911,33356,8259,11266,24341,15441,6943,100984,188840,80656,11006,31113,53988,12077,195815,81121,93712,4974,16008,216023,77410,95685,18642,24286,6619,4035,47766,29900,12612,2134,3209,52399,37863,17574,1790,500064,433392,66672,67523,188840,23493,0.4752,34891,40.5,36.3,405626,246447,206109,125678,63162,6,937,1329,15949,23896,New Jersey,CAMDEN
"Cape May County, New Jersey",48.4,53.3,41183,2275,4984,6402,8677,5193,2801,3203,900,1626,1910,2196,1016,12981,39208,21231,1435,3107,11202,2233,39721,11975,23067,1722,2957,41011,8738,22604,4575,5094,815,905,9645,7781,2500,321,376,11154,8422,3873,299,90737,82250,8487,67007,39208,1359,0.4923,42585,42.2,34.1,79952,42080,99427,31531,7677,5.5,949,1305,2741,4175,New Jersey,CAPE MAY
"Cumberland County, New Jersey",37.4,39,56971,1577,8567,9094,8500,8863,3110,5383,1418,1852,4131,3706,770,30264,50034,22580,2830,9018,12790,2816,62534,28501,26775,2445,4813,58858,20773,26028,4615,7442,2332,2111,22545,4234,1942,77,1759,14330,5854,3879,211,139439,119034,20405,52795,50034,8625,0.4606,25040,38.1,36.2,119757,60140,56497,33770,16264,6.1,848,1089,5417,7431,New Jersey,CUMBERLAND
"Essex County, New Jersey",36,39.1,363653,7490,18514,30140,45737,46779,21915,60308,10167,16887,39814,43366,22536,169471,289921,115239,17644,56714,85638,14686,304200,135819,141199,6085,21097,337482,137270,141444,27539,31229,12800,4657,74454,50944,24867,5591,5190,78847,63435,32249,4049,779167,661011,118156,63368,289921,45865,0.5539,39708,40.7,36.2,630633,390081,318814,129988,159933,4.9,1056,1485,23591,38294,New Jersey,ESSEX
